Ticker,Segment,Volume
LOGN3,TRANSPORTE HIDROVIÁRIO,69766665
FIQE3,TELECOMUNICAÇÕES,13372054
ENJU3,PROGRAMAS E SERVIÇOS,10013714
ALPK3,SERVIÇOS DIVERSOS,14904140
MELK3,INCORPORAÇÕES,18331801
TRAD3,PROGRAMAS E SERVIÇOS,11894219
AALR3,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,18941573
ELMD3,PUBLICIDADE E PROPAGANDA,27714646
CSUD3,SERVIÇOS DIVERSOS,22974033
TFCO4,VESTUÁRIO,31622574
ITSA3,OUTROS,36540365
BRAP3,MINERAIS METÁLICOS,33677077
PINE4,BANCOS,13985879
LPSB3,INTERMEDIAÇÃO IMOBILIÁRIA,5637686
GOAU3,SIDERURGIA,18239318
POMO3,MATERIAL RODOVIÁRIO,17853265
WEST3,PROGRAMAS E SERVIÇOS,7755107
PFRM3,MEDICAMENTOS E OUTROS PRODUTOS,11788201
GGBR3,SIDERURGIA,25630515
BRKM3,PETROQUÍMICOS,26229048
PDGR3,EDIFICAÇÕES,9341730
VIVR3,INCORPORAÇÕES,13220132
TECN3,ACESSÓRIOS,9337862
SHOW3,PRODUÇÃO DE EVENTOS E SHOWS,4912793
TCSA3,INCORPORAÇÕES,6309977
RNEW4,ENERGIA ELÉTRICA,3807855
DEXP3,PETROQUÍMICOS,11956467
RSID3,EDIFICAÇÕES,6274510
INEP3,MÁQ. E EQUIP. INDUSTRIAIS,4732958
PDTC3,SERVIÇOS FINANCEIROS DIVERSOS,2993156
CAMB3,CALÇADOS,12834198
OIBR4,TELECOMUNICAÇÕES,3369061
AGXY3,AGRICULTURA,3432102
APER3,CORRETORAS DE SEGUROS,36826725
RNEW3,ENERGIA ELÉTRICA,1669797
IGTI3,EXPLORAÇÃO DE IMÓVEIS,3970329
INEP4,MÁQ. E EQUIP. INDUSTRIAIS,2339742
TASA3,ARMAS E MUNIÇÕES,6438306
ALUP4,ENERGIA ELÉTRICA,3413339
DMVF3,MEDICAMENTOS E OUTROS PRODUTOS,3001804
UNIP3,QUÍMICOS DIVERSOS,17117680
ALUP3,ENERGIA ELÉTRICA,2669748
EUCA4,MADEIRA,4926080
COCE5,ENERGIA ELÉTRICA,20227544
ATMP3,SERVIÇOS DIVERSOS,3731183
PMAM3,ARTEFATOS DE COBRE,1563870
ALLD3,ELETRODOMÉSTICOS,3645052
BEES3,BANCOS,1892311
DOTZ3,PROGRAMAS DE FIDELIZAÇÃO,871842
BPAC3,BANCOS,2720714
VSTE3,"TECIDOS, VESTUÁRIO E CALÇADOS",2644452
BOBR4,PRODUTOS DE LIMPEZA,973866
CLSC4,ENERGIA ELÉTRICA,9123934
ENGI4,ENERGIA ELÉTRICA,2005924
RAPT3,MATERIAL RODOVIÁRIO,2579092
SCAR3,EXPLORAÇÃO DE IMÓVEIS,4579635
LVTC3,PROGRAMAS E SERVIÇOS,1504970
RDNI3,EDIFICAÇÕES,1116219
ENGI3,ENERGIA ELÉTRICA,2294123
RNEW11,ENERGIA ELÉTRICA,506832
FHER3,FERTILIZANTES E DEFENSIVOS,1342969
BAZA3,BANCOS,7151292
OSXB3,EQUIPAMENTOS E SERVIÇOS,1191975
UCAS3,MÓVEIS,1538326
ATOM3,OUTROS,446450
WHRL4,ELETRODOMÉSTICOS,1005187
TRPL3,ENERGIA ELÉTRICA,2235479
OFSA3,MEDICAMENTOS E OUTROS PRODUTOS,4662197
BEES4,BANCOS,716108
CGRA4,"TECIDOS, VESTUÁRIO E CALÇADOS",2585266
EALT4,MÁQ. E EQUIP. INDUSTRIAIS,923995
EMAE4,ENERGIA ELÉTRICA,3840403
ALPA3,CALÇADOS,887110
RPMG3,"EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",388685
CGRA3,"TECIDOS, VESTUÁRIO E CALÇADOS",2113674
MTSA4,MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS,3501976
CRPG5,QUÍMICOS DIVERSOS,2281661
BRPR3,EXPLORAÇÃO DE IMÓVEIS,8877325
REDE3,ENERGIA ELÉTRICA,213852
CRPG6,QUÍMICOS DIVERSOS,1234602
WHRL3,ELETRODOMÉSTICOS,182604
CGAS5,GÁS,2693905
NEXP3,INTERMEDIAÇÃO IMOBILIÁRIA,117181
EUCA3,MADEIRA,167289
CGAS3,GÁS,157480
CLSC3,ENERGIA ELÉTRICA,47489
IGTI4,EXPLORAÇÃO DE IMÓVEIS,9790
GSHP3,EXPLORAÇÃO DE IMÓVEIS,9379
BRSR5,BANCOS,5616
COCE3,ENERGIA ELÉTRICA,000
CRDE3,EDIFICAÇÕES,000
ENBR3,ENERGIA ELÉTRICA,000
SLED3,PRODUTOS DIVERSOS,000
SLED4,PRODUTOS DIVERSOS,000
NUBR33,BANCOS,000
MODL3,BANCOS,000
